Unix_Test_Start_Time,Local_Test_Start_Time,Unix_Test_End_Time,Local_Test_End_Time,Verse_ID,Verse_Code,Verse,Characters,WPM,Test_Seconds,Error_Rate,Error_and_Backspace_Rate,Marathon_Mode,Player,Tag_1,Tag_2,Tag_3
1751853954,2025-07-06T22:05:54-0400,1751853972,2025-07-06T22:06:12-0400,35000,Hebrews_13:22,"And I beg you, brothers, that you may permit this word of consolation, especially since I have written to you with few words.",125,83.005288,18.071138,0.032000,0.064000,0,Alliecat,1,1,1
1751853972,2025-07-06T22:06:12-0400,1751854007,2025-07-06T22:06:47-0400,35001,Hebrews_13:23,"Know that our brother Timothy has been set free. If he arrives soon, then I will see you with him.",98,32.975491,35.662850,0.234694,0.602041,0,Alliecat,1,2,2
1751854007,2025-07-06T22:06:47-0400,1751854022,2025-07-06T22:07:02-0400,35002,Hebrews_13:24,Greet all your leaders and all the saints. The brothers from Italy greet you.,77,63.254496,14.607657,0.077922,0.155844,0,Alliecat,1,3,3
1751854044,2025-07-06T22:07:24-0400,1751854049,2025-07-06T22:07:29-0400,35003,Hebrews_13:25,Grace be with you all. Amen.,28,61.654022,5.449766,0.214286,0.428571,0,Alliecat,1,4,4
1751854049,2025-07-06T22:07:29-0400,1751854066,2025-07-06T22:07:46-0400,35004,James_1:1,"James, servant of God and of our Lord Jesus Christ, to the twelve tribes of the dispersion, greetings.",102,72.645656,16.848908,0.019608,0.058824,0,Alliecat,1,5,5
1751854105,2025-07-06T22:08:25-0400,1751854118,2025-07-06T22:08:38-0400,35000,Hebrews_13:22,"And I beg you, brothers, that you may permit this word of consolation, especially since I have written to you with few words.",125,118.610327,12.646454,0.072000,0.144000,0,Kendog,1,1,6
1751854156,2025-07-06T22:09:16-0400,1751854163,2025-07-06T22:09:23-0400,35001,Hebrews_13:23,"Know that our brother Timothy has been set free. If he arrives soon, then I will see you with him.",98,161.131327,7.298395,0.000000,0.000000,0,Kendog,1,2,7
1751854170,2025-07-06T22:09:30-0400,1751854179,2025-07-06T22:09:39-0400,35002,Hebrews_13:24,Greet all your leaders and all the saints. The brothers from Italy greet you.,77,102.389285,9.024382,0.142857,0.285714,0,Kendog,1,3,8
1751854182,2025-07-06T22:09:42-0400,1751854186,2025-07-06T22:09:46-0400,35003,Hebrews_13:25,Grace be with you all. Amen.,28,89.948145,3.735486,0.142857,0.285714,0,Kendog,1,4,9
1751854192,2025-07-06T22:09:52-0400,1751854205,2025-07-06T22:10:05-0400,35004,James_1:1,"James, servant of God and of our Lord Jesus Christ, to the twelve tribes of the dispersion, greetings.",102,95.630873,12.799214,0.127451,0.264706,0,Kendog,1,5,10
1751854235,2025-07-06T22:10:35-0400,1751854245,2025-07-06T22:10:45-0400,35005,James_1:2,"My brothers, when you have fallen into various trials, consider everything a joy,",81,97.214712,9.998487,0.024691,0.049383,0,Alliecat,2,1,11
